Dataset,Isovalue,numActiveCubes,numCubesWithAmbigFacets,numAmbigGridFacets,numCubesWithMultiIsov,numCubesWithIsotableIndexChange
aneurysm,30.5,163K,8.2K,4.8K,6.5K,2.5K
backpack,500.5,2.6M,39K,27K,34K,3.9K
bluntfin,10.5,73K,2,1,2,0
bonsai,50.5,306K,5.2K,3.3K,3.8K,560
carp,600.5\tnote{\fnII},450K,626,359,456,18
carp,1150.5\tnote{\fnIII},662K,13K,8.1K,9.9K,1.8K
engine,80.5,297K,68,34,34,0
frog,45.5,113K,4.7K,2.9K,4.2K,158
fuel,70.5,2.3K,32,16,16,0
lobster,20.5,239K,5.5K,3.5K,4.4K,1.2K
MRIwoman,1100.5,600K,43K,28K,37K,7.1K
neghip,100.5,10K,65,53,54,4
silicium,120.5,20K,360,191,346,0
visMale,55.5\tnote{\fnII},279K,943,570,776,70
visMale,70.5\tnote{\fnIII},454K,9.9K,6.4K,8.0K,1.5K
